"no stimulus","10 min","15 min","30 min","1h","no stimulus","10 min","15 min","30 min","1h",
0.7436,4.2165,0.5478,0.8211,2.6919,601.5260,1047.7326,821.0381,795.0019,366.3024,1.0000
0.9376,2.5575,2.5217,0.6873,1.6207,267.5444,817.4469,1066.5864,733.5026,835.4029,1.0000
1.0870,1.6864,3.9764,0.9827,9.1285,223.5522,345.6530,187.1913,975.0108,1248.8398,1.0000
0.8241,3.0290,0.7497,6.9816,2.5761,544.9646,675.1456,1192.7273,677.3901,446.6555,1.0000
0.6836,1.6655,0.6792,0.9481,1.1378,442.6154,455.1846,753.2542,833.6073,726.3202,1.0000
0.8778,3.7047,1.0635,0.8048,1.0972,1040.9991,875.8039,835.4029,1016.3096,501.4213,1.0000
0.8596,3.3161,3.1260,0.7891,1.1801,608.2595,324.1058,529.2531,725.4224,332.1860,1.0000
0.5629,5.0198,2.7907,3.3696,1.3138,255.8730,618.5842,608.2595,181.8045,618.1353,1.0000
0.4516,5.6700,1.2773,5.4455,3.5138,210.9830,234.3258,264.8510,1298.6677,522.9685,1.0000
0.5502,2.1581,1.1898,5.8545,2.5153,523.4174,153.5238,527.9064,225.7967,168.7864,1.0000
0.4276,3.8634,1.2895,0.7378,0.9154,171.4798,715.0977,597.0370,726.3202,709.7109,1.0000
0.4982,6.5545,1.2874,6.7472,6.7537,618.1353,717.7911,1113.2720,688.1637,605.1172,1.0000
0.4363,2.1534,5.0804,0.9536,0.9757,167.4397,341.1640,314.6789,931.4675,772.5569,1.0000
0.9520,1.3292,6.4377,0.8859,3.0009,694.4483,615.8908,280.5625,444.8599,619.9309,1.0000
1.1285,1.0498,1.0667,3.7876,1.3165,227.1434,468.2027,559.7783,502.7680,522.9685,1.0000
0.9362,0.9773,1.1315,0.9554,3.6196,450.2467,438.5753,497.3812,875.8039,1476.8810,1.0000
0.6791,5.0715,1.1188,0.6808,5.8705,931.4675,205.5962,553.9426,872.6616,1380.3675,1.0000
0.8973,1.1375,6.0451,4.2228,1.2004,606.4639,320.0657,287.7449,940.8944,741.5828,1.0000
0.8584,2.4368,4.2507,2.0595,3.3476,651.3539,725.4224,456.5313,867.7237,285.0515,1.0000
0.8286,0.8470,4.9743,3.4423,0.8706,633.3979,1197.2163,359.1200,757.2943,357.3244,1.0000
0.6489,1.1157,2.1392,3.2907,0.9938,810.2645,540.4756,473.5895,764.0278,544.0668,1.0000
0.6439,1.3100,1.0852,0.9557,1.3686,306.5987,561.1250,377.9738,499.1768,330.8393,1.0000
0.6752,4.6433,5.9459,0.8863,3.4614,760.4366,1268.5914,186.7424,820.1403,304.8031,1.0000
0.7829,1.6470,1.3956,0.6976,1.1278,476.2829,788.7173,399.5210,586.7123,458.7758,1.0000
0.6354,1.5173,1.8584,0.6632,0.8492,533.2932,159.3595,532.8443,1072.4221,453.3890,1.0000
0.5820,3.4220,1.5521,1.0016,4.1968,517.5817,179.5600,494.6878,872.6616,662.1275,1.0000
0.6393,1.2392,8.6524,3.2757,7.0436,678.7368,374.3826,545.8624,187.6402,756.8454,1.0000
0.9037,0.9572,2.2868,1.1978,0.9930,769.4146,895.5555,524.7641,770.3124,641.4781,1.0000
