"no stimulus","1 pM NGF","10pM NGF","100pM NGF","1nM NGF","10 nM NGF","no stimulus","1 pM NGF","10pM NGF","100pM NGF","1nM NGF","10 nM NGF",
0.8521,0.9633,1.2566,2.7224,1.3375,10.4587,935.5076,683.6747,192.5781,966.0328,1006.4338,509.0526,1.0000
0.8084,1.0186,4.6542,4.2535,3.0962,1.8187,1051.3238,835.8518,1042.3458,602.4238,528.3553,938.6499,1.0000
1.0020,4.1757,6.1640,2.4168,1.4303,5.6354,840.7897,922.0406,916.6538,263.0554,784.2283,797.6953,1.0000
0.7028,0.8250,1.9925,4.4836,1.3357,5.2293,179.1111,665.2698,273.3801,500.0746,1016.7585,1169.3845,1.0000
0.8449,0.8234,1.5080,10.2676,5.0168,1.3160,960.6460,824.1804,1315.7259,1432.4399,858.2968,759.5388,1.0000
1.0069,3.7785,8.1084,6.2654,1.3271,2.9509,762.6811,855.1545,806.2244,896.9022,1025.7365,492.8922,1.0000
0.8203,0.9858,1.2383,1.1047,1.1190,1.4562,332.1860,1277.5694,599.7304,887.4753,931.9164,348.3464,1.0000
1.1171,1.0759,6.1826,1.8923,3.0936,4.6253,896.4533,837.1985,524.3152,614.0952,324.1058,775.6992,1.0000
1.0342,0.9666,5.0505,1.9509,6.9317,12.1911,1063.4441,898.2489,868.6215,723.6268,1167.1400,680.9813,1.0000
1.2004,1.0618,1.1749,1.4989,3.2056,1.7607,606.4639,525.6619,276.9713,489.7499,441.7176,313.3322,1.0000
0.9784,2.0248,1.6997,5.8006,1.2929,5.8399,902.7379,388.2985,465.5093,702.0796,812.9579,773.0058,1.0000
1.4415,1.7310,1.2039,13.2934,3.9219,1.6292,164.2974,773.4547,738.4405,568.7563,216.3698,570.1030,1.0000
1.1896,1.0305,6.4284,2.1084,0.9393,8.8919,607.3617,1220.5591,497.8301,948.0768,317.3723,908.5736,1.0000
1.4667,1.0417,4.0344,7.0402,0.9137,1.3375,617.2375,1225.0481,638.3358,166.0930,506.3592,1042.3458,1.0000
1.0847,0.7624,7.8467,2.6810,0.9202,4.2334,432.2907,808.0200,1185.5449,534.1910,837.6474,204.2495,1.0000
0.7807,0.8371,1.6736,5.1446,1.8441,2.4751,584.4678,237.9170,846.6254,370.7914,431.8418,317.8212,1.0000
0.8513,1.1018,6.4794,1.4292,0.9592,1.6126,893.3110,924.2851,759.9877,428.6995,744.2762,399.9699,1.0000
0.9495,1.4050,4.3965,2.6771,1.1383,1.2841,817.4469,904.0846,647.7627,537.7822,818.3447,340.7151,1.0000
0.9796,0.9258,1.5074,14.1530,2.2639,6.5095,969.1751,239.7126,686.8170,842.5853,740.2361,651.3539,1.0000
1.0022,1.8474,9.3397,5.0374,2.8855,1.4818,599.2815,507.7059,240.1615,437.2286,866.3770,444.4110,1.0000
1.0021,1.0211,1.2402,1.5410,0.8438,1.4530,296.7229,377.5249,928.3252,1218.7635,176.4177,724.9735,1.0000
