"no stimulus","1 pM NGF","10pM NGF","100pM NGF","1nM NGF","10 nM NGF","no stimulus","1 pM NGF","10pM NGF","100pM NGF","1nM NGF","10 nM NGF",
,,,,1.0964,1.3807,,,,,256.7708,591.6502,3.0000
,,,,3.9269,1.0525,,,,,492.8922,355.9777,3.0000
,,,,0.9638,1.1798,,,,,210.0852,516.6839,3.0000
,,,,0.7056,1.5074,,,,,174.1732,498.2790,3.0000
,,,,4.0492,3.7174,,,,,929.6719,279.6647,3.0000
,,,,1.2886,4.1604,,,,,630.7045,511.7460,3.0000
,,,,5.5446,0.9870,,,,,617.6864,571.0008,3.0000
,,,,1.2418,5.5217,,,,,743.8273,196.6182,3.0000
,,,,3.2413,1.0881,,,,,799.4909,1146.9395,3.0000
,,,,1.0472,1.2478,,,,,901.3912,597.4859,3.0000
,,,,0.9072,1.2112,,,,,1062.9952,752.3564,3.0000
,,,,2.1634,1.1975,,,,,1211.1322,318.2701,3.0000
,,,,0.8685,0.8515,,,,,529.7020,437.6775,3.0000
,,,,1.5379,5.2645,,,,,922.0406,1212.9278,3.0000
,,,,2.0772,12.1705,,,,,153.5238,1118.2099,3.0000
,,,,1.5055,1.9155,,,,,564.2673,625.3177,3.0000
,,,,1.2481,8.8338,,,,,658.0874,610.9529,3.0000
,,,,1.4750,1.3553,,,,,265.2999,572.7964,3.0000
,,,,1.2581,1.2187,,,,,678.2879,755.9476,3.0000
,,,,1.4068,1.0360,,,,,641.9270,567.8585,3.0000
,,,,0.7672,7.1849,,,,,569.2052,397.7254,3.0000
,,,,1.6001,0.9548,,,,,307.4965,694.4483,3.0000
,,,,1.6463,1.4056,,,,,289.5405,586.2634,3.0000
,,,,1.2248,7.2509,,,,,495.5856,1049.0793,3.0000
,,,,1.6783,1.1228,,,,,838.5452,278.7669,3.0000
,,,,5.9181,3.0086,,,,,1040.1013,697.5906,3.0000
,,,,0.7888,5.8039,,,,,962.8905,968.2773,3.0000
,,,,0.9120,9.1004,,,,,393.2364,1167.1400,3.0000
,,,,0.9615,1.0096,,,,,1248.3909,862.3369,3.0000
,,,,0.8564,3.8994,,,,,431.3929,1119.1077,3.0000
,,,,0.9185,11.5838,,,,,213.6764,546.7602,3.0000
,,,,0.9461,1.3806,,,,,364.0579,278.3180,3.0000
,,,,0.9797,1.0028,,,,,218.1654,404.4589,3.0000
,,,,0.7327,3.5321,,,,,238.8148,487.9543,3.0000
,,,,0.9962,1.6482,,,,,185.8446,732.1559,3.0000
,,,,1.3464,1.9768,,,,,180.9067,494.6878,3.0000
,,,,1.2420,1.6783,,,,,1034.7145,710.6087,3.0000
,,,,5.4134,14.0365,,,,,719.1378,1348.9445,3.0000
,,,,1.1949,1.8191,,,,,532.8443,494.6878,3.0000
,,,,6.6269,5.8077,,,,,528.3553,575.4898,3.0000
,,,,1.0580,1.3024,,,,,200.6583,623.9710,3.0000
,,,,3.1450,1.2302,,,,,627.1133,375.7293,3.0000
,,,,3.8719,7.6396,,,,,857.3990,176.4177,3.0000
,,,,2.1731,1.7855,,,,,764.0278,473.5895,3.0000
,,,,0.7472,2.1283,,,,,1143.7972,329.4926,3.0000
,,,,0.6169,17.8095,,,,,1062.5463,568.3074,3.0000
,,,,0.6100,1.6944,,,,,430.9440,531.9465,3.0000
,,,,0.4342,2.0748,,,,,289.5405,338.4706,3.0000
,,,,2.2129,1.4397,,,,,1109.2319,685.4703,3.0000
,,,,0.3058,5.4400,,,,,652.7006,241.9571,3.0000
,,,,0.3112,9.3349,,,,,529.7020,769.4146,3.0000
,,,,1.5490,4.8941,,,,,1333.2330,220.4099,3.0000
,,,,0.8178,5.1053,,,,,661.2297,200.6583,3.0000
,,,,0.8298,3.1141,,,,,562.0228,278.3180,3.0000
,,,,0.6388,4.0237,,,,,829.1183,277.4202,3.0000
,,,,0.9373,2.3049,,,,,706.5686,616.7886,3.0000
,,,,1.2825,2.8263,,,,,557.0849,676.0434,3.0000
,,,,0.5465,1.0574,,,,,532.8443,547.6580,3.0000
,,,,1.5216,0.8646,,,,,868.1726,197.9649,3.0000
,,,,0.9371,0.7254,,,,,496.0345,423.3127,3.0000
,,,,1.1386,0.9246,,,,,1353.8824,180.0089,3.0000
,,,,0.4416,0.9924,,,,,1154.5708,277.4202,3.0000
,,,,,0.9234,,,,,,167.4397,3.0000
,,,,,1.0014,,,,,,270.6867,3.0000
,,,,,1.2889,,,,,,677.3901,3.0000
,,,,,1.6134,,,,,,248.2417,3.0000
,,,,,0.8662,,,,,,483.4653,3.0000
,,,,,6.6805,,,,,,341.1640,3.0000
,,,,,7.2028,,,,,,982.6421,3.0000
,,,,,2.4412,,,,,,452.9401,3.0000
,,,,,7.3985,,,,,,636.5402,3.0000
,,,,,1.0958,,,,,,230.2857,3.0000
,,,,,1.1369,,,,,,340.2662,3.0000
,,,,,5.5946,,,,,,794.1041,3.0000
,,,,,4.6101,,,,,,248.2417,3.0000
,,,,,1.9634,,,,,,1140.2060,3.0000
,,,,,0.8064,,,,,,409.8457,3.0000
,,,,,7.3870,,,,,,1210.2344,3.0000
,,,,,1.3430,,,,,,260.8109,3.0000
,,,,,1.5687,,,,,,370.7914,3.0000
,,,,,0.8196,,,,,,320.9635,3.0000
,,,,,1.4249,,,,,,502.7680,3.0000
,,,,,1.5755,,,,,,430.0462,3.0000
,,,,,0.9068,,,,,,170.1331,3.0000
,,,,,10.0577,,,,,,467.3049,3.0000
,,,,,1.6587,,,,,,542.2712,3.0000
,,,,,10.4823,,,,,,276.0735,3.0000
,,,,,1.6552,,,,,,421.9660,3.0000
,,,,,13.3781,,,,,,432.7396,3.0000
,,,,,9.2658,,,,,,228.4901,3.0000
,,,,,11.7756,,,,,,1070.1776,3.0000
,,,,,1.6699,,,,,,460.1225,3.0000
,,,,,1.1012,,,,,,1375.4296,3.0000
,,,,,0.7235,,,,,,178.2133,3.0000
,,,,,0.8666,,,,,,185.3957,3.0000
,,,,,0.8301,,,,,,177.3155,3.0000
,,,,,0.8723,,,,,,203.8006,3.0000
,,,,,0.9695,,,,,,194.3737,3.0000
,,,,,0.9045,,,,,,659.8830,3.0000
,,,,,1.1453,,,,,,722.7290,3.0000
,,,,,3.6242,,,,,,429.1484,3.0000
,,,,,1.1526,,,,,,638.7847,3.0000
,,,,,1.4044,,,,,,444.8599,3.0000
,,,,,1.5966,,,,,,617.2375,3.0000
,,,,,5.5269,,,,,,1021.6964,3.0000
,,,,,0.8036,,,,,,425.1083,3.0000
,,,,,1.3862,,,,,,500.0746,3.0000
,,,,,9.0984,,,,,,1032.4700,3.0000
,,,,,1.4475,,,,,,552.1470,3.0000
,,,,,5.1083,,,,,,398.1743,3.0000
,,,,,5.0112,,,,,,608.2595,3.0000
,,,,,1.6416,,,,,,329.9415,3.0000
,,,,,13.7070,,,,,,513.0927,3.0000
,,,,,2.0836,,,,,,535.0888,3.0000
,,,,,1.5604,,,,,,351.9376,3.0000
,,,,,0.9728,,,,,,238.3659,3.0000
,,,,,1.4162,,,,,,359.1200,3.0000
,,,,,7.6510,,,,,,209.6363,3.0000
,,,,,2.7196,,,,,,1221.0080,3.0000
,,,,,7.9070,,,,,,188.5380,3.0000
,,,,,1.0649,,,,,,792.7574,3.0000
1.3091,0.5990,4.4074,0.9525,0.7238,3.1082,777.0459,270.2378,655.8429,550.3514,717.3422,336.6750,4.0000
0.6016,1.2480,1.0790,0.6081,3.1688,0.5509,1062.5463,548.1069,505.9103,228.9390,614.0952,412.9880,4.0000
0.9609,1.4042,2.1018,0.5298,0.7030,0.5128,845.2787,208.2896,636.0913,216.3698,352.3865,500.9724,4.0000
1.3473,0.7733,0.6574,1.4496,1.0186,0.7437,841.6875,369.4447,832.2606,458.7758,337.5728,465.9582,4.0000
1.7369,1.1325,0.7416,0.8745,0.8246,1.4909,840.7897,475.3851,204.2495,342.9596,388.2985,474.9362,4.0000
0.6617,0.9132,1.0579,0.5043,0.8439,1.1884,342.5107,319.1679,771.6591,351.9376,277.8691,523.8663,4.0000
0.9570,0.8436,1.2648,0.5512,0.5698,1.0089,1414.9328,479.8741,615.8908,985.3355,331.2882,346.5508,4.0000
1.1377,0.7549,0.6631,0.4707,3.6695,2.0859,306.5987,381.1161,421.5171,404.0100,230.7346,338.0217,4.0000
1.2676,1.9460,4.1679,0.8151,15.6973,1.1648,366.7513,252.7307,296.2740,953.4636,579.9788,578.1832,4.0000
0.6326,0.6772,3.4612,0.4597,9.7448,5.5770,728.5647,287.7449,180.0089,584.9167,211.4319,254.9752,4.0000
0.3271,0.7497,1.6801,0.7215,13.8641,1.4700,157.1150,1059.4040,228.9390,208.2896,429.5973,428.2506,4.0000
0.5649,0.6435,1.8320,0.5751,1.3167,0.4709,761.7833,413.8858,160.7062,279.6647,375.7293,443.0643,4.0000
0.5830,0.7237,1.9555,0.7015,2.3698,2.9380,689.5104,641.9270,471.3450,406.7034,328.5948,160.2573,4.0000
0.9967,1.0330,1.0419,0.6722,1.2287,1.5664,463.2648,298.0696,190.7825,494.2389,276.5224,486.6076,4.0000
1.0810,0.4215,3.6459,0.3875,6.7933,1.0906,320.0657,335.3283,183.6001,438.5753,1054.0172,483.4653,4.0000
0.9236,0.7220,2.5217,0.4707,1.5702,3.2373,1056.7106,254.9752,477.1807,560.6761,650.9050,218.1654,4.0000
0.5624,1.5492,0.9029,0.3676,2.6934,0.4576,1289.6897,188.5380,456.5313,314.6789,306.1498,459.2247,4.0000
0.4331,0.9590,2.2073,0.2381,6.0708,0.8813,1117.3121,509.5015,526.1108,312.4344,890.6176,805.3266,4.0000
0.6927,1.5352,0.5960,0.1866,0.9348,0.5927,976.3575,374.3826,521.1729,660.3319,1303.6056,221.3077,4.0000
0.4835,0.7553,0.7519,0.2399,0.4024,0.6560,558.8805,571.0008,515.3372,151.2793,154.4216,188.9869,4.0000
0.4732,0.7162,1.1234,0.6330,0.5999,0.3950,395.4809,212.3297,895.5555,850.6655,527.0086,255.8730,4.0000
0.3723,0.4700,0.4901,0.2683,0.9084,6.8648,556.1871,325.9014,211.8808,836.3007,430.4951,587.6101,4.0000
0.6015,0.4604,0.6637,0.6742,0.4043,1.2936,830.4650,450.2467,804.4288,922.0406,472.6917,680.5324,4.0000
0.3791,1.4171,1.6236,2.0302,1.9773,0.7134,509.9504,300.7630,559.3294,1038.3057,1097.1116,636.5402,4.0000
0.9084,0.7664,2.5437,4.2074,2.3130,3.3650,413.8858,466.8560,777.4948,151.2793,223.1033,275.1757,4.0000
1.6762,1.7513,3.5608,0.7063,1.2825,1.2546,806.2244,1004.6382,244.2016,670.6566,518.0306,660.7808,4.0000
1.2133,0.8409,1.9326,1.3396,2.3366,1.0120,632.5001,593.8947,440.8198,860.9902,237.0192,1172.9757,4.0000
1.3901,1.2327,0.9581,0.8865,8.5539,1.2909,521.6218,862.7858,353.2843,1337.7220,533.2932,589.8546,4.0000
1.7184,1.0847,0.8607,0.9620,4.4600,0.5753,707.0175,751.4586,456.5313,663.4742,190.7825,324.1058,4.0000
1.9742,0.7440,0.9030,0.6916,0.8117,0.8553,436.7797,667.9632,465.9582,640.1314,447.5533,879.8440,4.0000
0.9126,0.7348,1.4836,0.6965,0.8506,2.1064,263.5043,1414.9328,515.3372,1005.9849,383.8095,378.4227,4.0000
0.6439,0.6182,2.3636,1.3378,2.5792,0.7948,518.9284,876.2528,777.9437,958.8504,340.2662,269.3400,4.0000
0.7681,1.1329,0.5158,0.6872,0.8089,0.8316,780.1882,959.2993,267.9933,436.3308,584.9167,671.5544,4.0000
1.1576,1.5049,0.4819,0.3442,1.2047,0.7127,401.7655,560.2272,720.4845,247.3439,990.7223,277.4202,4.0000
0.5098,0.4368,0.5851,0.9826,0.6346,1.6670,273.3801,356.4266,525.6619,853.8078,620.3798,990.2734,4.0000
0.4902,39.3983,1.1900,0.4915,0.5923,0.6214,671.1055,355.9777,869.9682,1321.1127,177.3155,305.2520,4.0000
0.7025,0.5442,1.6097,0.8002,2.2308,0.8456,917.5516,280.1136,546.3113,378.4227,1021.2475,258.5664,4.0000
0.6208,0.3442,0.9021,0.8409,0.7852,2.0387,297.1718,198.8627,628.0111,785.5750,210.0852,568.7563,4.0000
1.0901,1.1915,1.5257,0.9958,5.5052,2.7327,932.3653,230.2857,666.6165,1014.5140,189.4358,218.1654,4.0000
0.6707,0.7090,0.5602,0.7506,0.7888,0.6813,862.3369,224.8989,200.6583,1044.1414,271.1356,179.5600,4.0000
0.4558,0.8871,0.5970,0.8871,8.9184,0.8176,477.1807,316.9234,782.4327,1410.8927,367.2002,409.3968,4.0000
0.5567,0.7152,1.9378,0.6083,7.2941,0.8770,221.7566,1153.2241,331.7371,970.0729,432.2907,475.8340,4.0000
0.4183,0.5701,1.5468,1.5045,8.0042,0.5514,327.6970,256.3219,494.2389,308.8432,567.8585,245.9972,4.0000
1.1933,0.6580,1.7568,4.5914,6.9702,1.7279,1268.5914,562.9206,259.9131,886.1286,414.3347,448.0022,4.0000
0.5865,0.5718,1.4739,1.0187,7.5291,1.3638,770.7613,887.9242,496.9323,454.7357,423.3127,230.7346,4.0000
1.0165,0.5740,1.3401,0.8102,1.4054,1.5084,1355.2291,470.8961,329.4926,1090.3781,361.8134,714.1999,4.0000
0.9080,0.9433,0.9847,0.4929,1.2077,0.7694,365.8535,748.7652,521.1729,704.3241,426.0061,290.4383,4.0000
0.7365,2.0201,1.0716,0.7541,6.9910,0.9097,303.4564,807.5711,502.3191,558.4316,312.4344,462.3670,4.0000
0.7407,0.6523,2.6800,0.9361,10.6037,1.0257,390.5430,1383.5098,577.2854,757.7432,264.8510,184.0490,4.0000
1.0930,1.1790,1.2107,0.7696,6.7514,7.1389,892.8621,337.1239,400.8677,1216.0701,654.9451,462.3670,4.0000
0.7366,0.7726,1.1042,1.2355,1.9958,2.8148,519.3773,195.7204,321.8613,901.3912,334.8794,1236.7195,4.0000
1.1946,0.9787,1.3723,1.6019,1.1944,2.4017,620.8287,493.3411,386.9518,484.8120,314.6789,532.3954,4.0000
1.2056,2.0746,3.0059,0.6026,0.8952,6.4559,301.6608,766.2723,269.7889,281.0114,212.7786,804.4288,4.0000
2.2913,1.5701,1.5727,0.8874,4.2007,1.5425,168.7864,542.7201,346.9997,378.4227,593.8947,286.8471,4.0000
0.5361,1.2820,2.1320,1.0475,0.6098,0.5148,667.9632,1076.4622,193.4759,337.1239,628.9089,176.8666,4.0000
0.5819,0.6793,2.0282,2.2028,0.8625,0.7044,1023.4920,153.0749,396.8276,241.0593,471.7939,268.4422,4.0000
0.7820,0.6847,0.9437,1.0939,3.0973,3.1587,1046.3859,1070.6265,401.3166,685.0214,509.9504,628.9089,4.0000
0.4294,0.6755,2.5997,1.0318,0.6050,6.3346,1161.7532,658.9852,259.0153,653.1495,310.1899,218.6143,4.0000
0.3853,0.9419,1.9815,0.8852,4.6839,2.4084,1060.3018,250.0373,1279.8139,430.9440,608.7084,433.1885,4.0000
0.3200,1.4727,0.5170,0.8760,0.6752,2.0144,845.7276,303.9053,210.9830,726.7691,801.7354,475.3851,4.0000
0.5898,0.6063,0.4375,0.7581,5.7345,0.6055,909.4714,700.7329,588.5079,938.6499,1304.0545,468.2027,4.0000
0.5204,0.9182,2.2716,1.9298,1.2621,0.4784,329.0437,291.7850,419.2726,1030.2255,373.0359,348.3464,4.0000
2.1010,1.5826,0.8353,0.4141,1.3435,0.6290,1091.7248,523.4174,318.7190,214.5742,998.3536,471.3450,4.0000
0.9125,0.5019,0.7758,1.9632,1.8692,3.1477,862.7858,514.4394,185.3957,377.5249,378.8716,153.9727,4.0000
0.5777,0.9113,1.5998,2.3021,3.6049,7.3026,559.7783,1246.5953,445.3088,368.0980,452.4912,159.8084,4.0000
0.5484,2.0403,0.8775,0.7503,2.8709,0.5481,389.6452,1023.9409,602.4238,383.3606,184.9468,283.2559,4.0000
3.9232,1.1288,1.8855,0.7084,1.3072,1.0504,729.4625,769.8635,399.5210,408.9479,535.0888,453.8379,4.0000
0.7247,1.1819,0.8947,2.0743,0.8284,0.6172,958.4015,285.9493,408.0501,682.7769,311.0877,325.4525,4.0000
0.5555,0.4452,1.0753,1.0321,5.6160,0.7643,377.5249,1101.6006,166.9908,482.5675,481.6697,752.3564,4.0000
0.7803,0.6884,0.7734,0.7419,2.7198,0.5932,549.9025,832.7095,556.6360,538.6800,212.3297,569.2052,4.0000
0.9458,1.0065,1.3544,0.4719,3.7826,0.5113,598.8326,1123.1478,502.3191,243.3038,260.3620,298.9674,4.0000
0.9074,0.4522,1.3216,1.0135,3.5230,0.4394,505.4614,650.4561,463.7137,154.4216,219.5121,371.2403,4.0000
0.7543,0.7254,3.0042,0.8005,1.2835,0.5332,612.7485,502.3191,452.0423,483.4653,669.7588,394.5831,4.0000
2.6936,3.8174,1.2507,0.8924,0.7127,1.8954,779.2904,1398.3235,507.7059,420.1704,175.0710,293.1317,4.0000
1.0471,0.5137,1.2580,2.2943,0.8328,1.1049,618.1353,1203.5009,465.0604,238.3659,574.5920,1229.0882,4.0000
0.8867,0.4140,2.7907,0.7449,1.1315,1.2809,290.8872,727.2180,242.8549,522.9685,419.2726,491.9944,4.0000
1.1384,1.5804,0.8795,1.5721,0.8727,0.6736,346.1019,670.6566,564.7162,734.4004,573.6942,554.8404,4.0000
0.7758,2.0215,0.9386,0.8217,1.0693,0.4778,647.7627,413.4369,439.9220,277.8691,566.0629,609.6062,4.0000
0.7535,4.7605,2.2593,1.2922,1.0251,0.6817,689.0615,209.1874,492.8922,661.2297,456.0824,242.8549,4.0000
0.8968,1.0932,1.3647,1.6394,2.3626,0.4010,935.0587,883.8841,518.9284,623.0732,466.8560,351.4887,4.0000
1.0518,0.3509,1.3443,3.0635,4.3254,0.5757,373.4848,948.5257,331.7371,842.1364,398.6232,456.5313,4.0000
0.4308,0.6409,2.1221,0.3376,5.1090,0.8242,166.5419,876.2528,632.0512,197.0671,209.6363,493.3411,4.0000
0.4757,0.5699,1.0020,1.3464,7.3150,0.4536,853.8078,428.6995,495.5856,829.5672,230.2857,161.6040,4.0000
0.5787,0.7668,0.9782,1.3567,1.1885,0.7431,1323.8061,484.8120,677.3901,660.7808,452.9401,1288.7919,4.0000
0.5261,0.7316,0.6620,0.5443,1.0688,0.6819,1219.6613,1231.7816,564.2673,670.6566,562.0228,391.8897,4.0000
0.6376,0.8713,0.7601,0.9745,0.5800,1.0444,469.1005,983.9888,189.4358,325.0036,321.4124,751.9075,4.0000
0.5336,0.9301,0.7022,4.4784,4.1460,0.4700,810.2645,860.9902,618.5842,314.6789,1202.6031,640.1314,4.0000
0.7612,0.9386,0.9909,3.7254,0.5084,0.7102,492.4433,764.4767,254.9752,671.5544,222.6544,1052.6705,4.0000
1.2602,0.2863,1.6077,4.3993,0.6708,0.4789,637.8869,1348.9445,789.6151,531.9465,446.6555,273.8290,4.0000
0.6705,16.4600,0.7903,1.2840,0.9642,3.6235,463.7137,575.9387,638.7847,592.9969,386.5029,983.9888,4.0000
0.5814,1.5226,1.0561,0.9557,0.5962,0.7279,439.0242,728.5647,621.2776,525.6619,364.5068,388.2985,4.0000
0.3463,0.7050,0.8299,7.1675,1.0662,0.9970,354.1821,898.6978,217.7165,264.4021,450.6956,1008.6783,4.0000
0.3241,0.5684,1.0750,3.1369,9.1073,4.7632,899.1467,1243.4530,481.2208,832.2606,713.3021,816.5491,4.0000
0.5697,0.6719,0.4544,1.3321,8.3908,3.0507,477.6296,491.0966,543.1690,715.9955,496.0345,728.5647,4.0000
0.8385,0.9414,1.2229,4.0334,8.8395,0.6213,720.0356,1289.2408,1098.0094,219.9610,227.1434,298.0696,4.0000
0.5578,0.7379,1.6331,0.9803,1.0992,0.4592,987.1311,1187.3405,759.0899,480.7719,455.6335,185.3957,4.0000
0.3806,0.7941,1.3397,0.6464,2.0930,1.5461,216.3698,425.1083,354.1821,244.6505,472.6917,621.7265,4.0000
0.4915,0.5762,1.3932,0.9034,1.0345,1.3231,649.5583,852.4611,898.6978,398.1743,508.1548,503.2169,4.0000
0.4400,0.5460,0.5615,1.7211,5.7055,,744.7251,794.1041,772.5569,455.6335,204.6984,,4.0000
0.4679,1.2788,0.8750,3.3485,1.0473,,281.4603,348.7953,409.3968,400.4188,602.8727,,4.0000
0.5834,0.7549,0.9262,0.8913,0.8006,,649.5583,748.7652,389.6452,1196.7674,387.8496,,4.0000
0.7132,0.7252,0.5204,0.8839,0.7117,,719.1378,1017.6563,504.1147,779.7393,463.7137,,4.0000
1.1972,0.6646,0.6981,0.6238,0.7498,,921.1428,555.7382,1048.6304,538.6800,417.9259,,4.0000
1.1396,0.4926,0.8150,3.0197,0.6656,,1089.9292,408.0501,887.0264,679.1857,338.0217,,4.0000
0.9471,0.6489,0.7187,0.7326,0.6606,,793.2063,321.4124,742.4806,231.1835,487.5054,,4.0000
0.9429,0.6706,0.7845,0.7499,1.0506,,1249.7376,606.0150,505.9103,575.9387,169.6842,,4.0000
1.3683,0.6456,0.7500,2.7075,0.7495,,633.3979,1384.4076,688.1637,727.6669,1147.3884,,4.0000
0.8117,0.4116,1.5216,0.5934,0.6124,,991.1712,1110.1297,438.1264,581.3255,288.6427,,4.0000
0.4170,0.6136,0.7759,2.9651,1.1243,,553.9426,390.0941,431.3929,299.4163,328.5948,,4.0000
1.1062,0.3623,1.0695,0.6664,1.2855,,990.2734,464.1626,917.5516,1193.6251,246.4461,,4.0000
0.8966,0.6271,1.5721,3.3759,1.7610,,919.7961,374.8315,474.9362,344.3063,448.9000,,4.0000
0.7616,0.6519,1.9148,1.3473,0.8680,,231.6324,912.1648,817.4469,478.9763,518.0306,,4.0000
0.5865,0.8430,0.7368,0.6886,0.9927,,703.8752,838.5452,232.5302,784.2283,309.2921,,4.0000
0.6815,0.6155,1.8578,1.6166,0.6843,,638.7847,538.6800,245.9972,224.8989,554.8404,,4.0000
0.5779,0.8974,0.6568,2.0895,4.1799,,415.6814,430.4951,892.4132,345.2041,962.4416,,4.0000
0.6189,0.6001,1.3514,0.4926,0.8409,,488.8521,204.2495,1183.7493,190.7825,480.7719,,4.0000
1.2897,0.7674,0.9076,0.5780,0.7207,,310.1899,238.3659,476.2829,259.4642,231.6324,,4.0000
0.7030,0.8187,0.5708,1.0270,0.8803,,547.6580,205.1473,772.5569,339.8173,308.3943,,4.0000
0.9591,0.7411,1.1035,0.8729,0.6994,,850.6655,150.3815,720.9334,1116.8632,177.3155,,4.0000
0.7343,0.9611,1.6454,0.6227,0.6721,,285.0515,275.1757,776.1481,649.1094,287.7449,,4.0000
0.9319,0.8374,0.9050,0.6383,8.2114,,874.4572,152.6260,707.0175,480.7719,653.1495,,4.0000
0.4966,1.5327,0.8558,0.5884,7.1042,,1380.3675,282.8070,457.8780,517.5817,593.4458,,4.0000
0.8692,0.8278,0.9530,0.9342,0.7112,,838.5452,309.7410,365.4046,656.7407,448.0022,,4.0000
0.7049,0.7273,1.6314,0.5487,0.5501,,713.7510,229.8368,1472.8409,390.5430,787.8195,,4.0000
0.8403,0.6317,1.3060,0.6260,0.6092,,536.8844,373.4848,534.1910,309.2921,383.8095,,4.0000
0.8952,0.6043,4.8478,1.9828,4.7847,,659.8830,339.8173,540.0267,653.1495,423.7616,,4.0000
0.6413,0.7118,1.1573,0.4113,4.2752,,401.7655,357.7733,329.4926,893.3110,555.7382,,4.0000
0.4208,0.4194,1.8476,1.0516,1.4028,,436.7797,516.2350,752.3564,562.4717,370.3425,,4.0000
0.4576,0.6557,1.0374,0.6161,3.8767,,390.5430,684.1236,522.9685,586.7123,430.4951,,4.0000
0.8894,0.5927,0.7882,0.6708,1.7811,,391.4408,762.6811,596.1392,598.3837,726.3202,,4.0000
1.1389,0.6513,0.7435,0.6202,4.9165,,1304.0545,839.8919,301.2119,282.8070,570.5519,,4.0000
0.6880,0.7091,0.7679,0.5018,3.3068,,571.0008,234.7747,391.4408,166.0930,525.6619,,4.0000
1.2015,0.7268,1.0845,1.5997,0.9637,,254.0774,422.4149,650.0072,182.2534,567.8585,,4.0000
0.4194,0.8385,1.7027,1.0705,1.1942,,459.2247,223.5522,169.6842,914.4093,394.5831,,4.0000
0.9988,0.9786,0.6946,3.3036,0.6945,,809.8156,254.5263,195.2715,296.7229,340.2662,,4.0000
0.3926,0.7704,0.8823,2.7867,0.5370,,741.5828,397.7254,1043.2436,188.5380,276.0735,,4.0000
0.5823,0.7065,1.9424,3.7513,0.9754,,1291.9342,515.7861,665.7187,566.9607,511.7460,,4.0000
0.7074,0.8868,1.2161,0.8401,1.3770,,501.4213,207.8407,612.2996,291.7850,186.2935,,4.0000
0.6805,0.3792,0.6647,2.1266,6.2989,,1210.6833,325.0036,333.5327,218.6143,539.1289,,4.0000
0.9174,3.1257,0.6731,0.4356,0.6012,,549.4536,223.1033,338.4706,598.3837,444.8599,,4.0000
0.8906,0.9922,0.8684,0.4564,0.5343,,757.7432,335.7772,237.0192,466.8560,154.8705,,4.0000
0.5661,1.0474,1.5186,0.5443,0.6361,,321.8613,637.8869,587.6101,843.9320,205.5962,,4.0000
1.7464,2.3094,2.5728,0.4679,1.3252,,686.3681,186.7424,455.6335,384.2584,874.0083,,4.0000
2.9656,0.8850,1.1619,0.5536,0.7436,,228.4901,1008.2294,387.4007,912.6137,288.1938,,4.0000
0.9650,0.7515,2.1697,0.5405,0.6635,,666.6165,892.4132,421.5171,737.9916,531.9465,,4.0000
0.7861,0.9027,1.5012,0.7454,0.6568,,643.7226,1204.3987,395.9298,196.1693,324.5547,,4.0000
0.6964,1.1955,1.2805,0.5797,0.6629,,365.4046,548.5558,1370.0428,718.6889,747.4185,,4.0000
0.5662,0.7883,1.4222,0.9322,0.6983,,628.4600,385.1562,415.2325,608.7084,1091.7248,,4.0000
0.7407,0.7080,2.6997,0.6197,0.6713,,758.1921,213.2275,233.4280,413.8858,430.9440,,4.0000
0.7450,0.5844,1.8092,1.7590,0.6272,,399.5210,486.1587,461.9181,265.7488,221.3077,,4.0000
0.7338,0.5385,0.8992,3.4571,0.6260,,792.3085,580.8766,798.1442,318.2701,575.4898,,4.0000
1.5525,0.9753,1.0922,2.4097,1.1339,,605.5661,364.0579,938.6499,631.1534,214.1253,,4.0000
0.9083,1.0816,0.3522,0.9663,1.2457,,743.3784,637.4380,718.6889,833.1584,529.2531,,4.0000
0.8775,0.4254,0.7684,0.8517,0.9811,,616.7886,208.7385,708.3642,569.2052,362.2623,,4.0000
0.5944,0.7635,0.9777,0.5639,1.0477,,665.7187,231.1835,535.9866,755.0498,340.7151,,4.0000
0.5894,0.8004,1.3299,0.8260,0.5063,,509.9504,571.8986,242.8549,289.5405,1086.7869,,4.0000
0.4093,0.6700,1.3987,0.7096,0.7964,,795.0019,669.7588,388.2985,907.6758,366.3024,,4.0000
0.8589,2.1719,2.4417,0.9107,0.8617,,436.3308,889.7198,151.7282,808.9178,236.5703,,4.0000
0.7205,1.0196,1.5008,1.4425,1.0190,,608.2595,465.5093,185.3957,398.1743,293.1317,,4.0000
1.8966,0.7936,1.2145,0.9147,0.8780,,679.1857,1064.3419,332.6349,611.4018,495.1367,,4.0000
1.0026,0.9812,0.7263,0.3273,0.7888,,882.9863,602.8727,479.8741,189.4358,708.8131,,4.0000
0.6404,0.6602,0.7779,1.9842,0.9898,,224.0011,646.4160,239.2637,639.6825,346.5508,,4.0000
1.1780,0.8901,0.5785,1.6961,1.0202,,190.3336,889.2709,550.3514,670.6566,591.6502,,4.0000
1.2843,0.8360,0.4684,1.3734,0.7637,,1054.9150,211.8808,854.7056,796.3486,273.3801,,4.0000
0.8956,0.6370,0.3753,1.0532,0.7815,,806.6733,355.0799,163.8485,896.0044,602.4238,,4.0000
0.8624,0.5961,2.2196,0.9629,1.0857,,876.2528,376.1782,250.9351,865.0303,351.4887,,4.0000
